ServiceStationName,timestep,price
7-Eleven Adamstown,2/08/2016,0
7-Eleven Adamstown,3/08/2016,107.9
7-Eleven Adamstown,4/08/2016,107.9
7-Eleven Adamstown,5/08/2016,107.9
7-Eleven Adamstown,6/08/2016,105.9
7-Eleven Adamstown,7/08/2016,105.9
7-Eleven Adamstown,8/08/2016,105.9
7-Eleven Adamstown,9/08/2016,104.9
7-Eleven Adamstown,10/08/2016,103.9
7-Eleven Adamstown,11/08/2016,103.9
7-Eleven Adamstown,12/08/2016,103.9
7-Eleven Adamstown,13/08/2016,103.9
7-Eleven Adamstown,14/08/2016,103.9
7-Eleven Adamstown,15/08/2016,103.9
7-Eleven Adamstown,16/08/2016,103.9
7-Eleven Adamstown,17/08/2016,103.9
7-Eleven Adamstown,18/08/2016,101.9
7-Eleven Adamstown,19/08/2016,98.9
7-Eleven Adamstown,20/08/2016,98.9
7-Eleven Adamstown,21/08/2016,98.9
7-Eleven Adamstown,22/08/2016,98.9
7-Eleven Adamstown,23/08/2016,98.9
7-Eleven Adamstown,24/08/2016,98.9
7-Eleven Adamstown,25/08/2016,98.9
7-Eleven Adamstown,26/08/2016,98.9
7-Eleven Adamstown,27/08/2016,98.9
7-Eleven Adamstown,28/08/2016,98.9
7-Eleven Adamstown,29/08/2016,98.9
7-Eleven Adamstown,30/08/2016,98.9
7-Eleven Adamstown,31/08/2016,98.9
7-Eleven Albion Park Rail,2/08/2016,100.2
7-Eleven Albion Park Rail,3/08/2016,100.2
7-Eleven Albion Park Rail,4/08/2016,100.2
7-Eleven Albion Park Rail,5/08/2016,99.9
7-Eleven Albion Park Rail,6/08/2016,99.9
7-Eleven Albion Park Rail,7/08/2016,99.9
7-Eleven Albion Park Rail,8/08/2016,99.9
7-Eleven Albion Park Rail,9/08/2016,99.9
7-Eleven Albion Park Rail,10/08/2016,97.9
7-Eleven Albion Park Rail,11/08/2016,97.9
7-Eleven Albion Park Rail,12/08/2016,96.9
7-Eleven Albion Park Rail,13/08/2016,96.9
7-Eleven Albion Park Rail,14/08/2016,96.9
7-Eleven Albion Park Rail,15/08/2016,96.9
7-Eleven Albion Park Rail,16/08/2016,96.9
7-Eleven Albion Park Rail,17/08/2016,96.9
7-Eleven Albion Park Rail,18/08/2016,96.9
7-Eleven Albion Park Rail,19/08/2016,127.4
7-Eleven Albion Park Rail,20/08/2016,127.4
7-Eleven Albion Park Rail,21/08/2016,127.4
7-Eleven Albion Park Rail,22/08/2016,126.9
7-Eleven Albion Park Rail,23/08/2016,126.9
7-Eleven Albion Park Rail,24/08/2016,125.9
7-Eleven Albion Park Rail,25/08/2016,120.7
7-Eleven Albion Park Rail,26/08/2016,115.2
7-Eleven Albion Park Rail,27/08/2016,114.7
7-Eleven Albion Park Rail,28/08/2016,114.7
7-Eleven Albion Park Rail,29/08/2016,114.7
7-Eleven Albion Park Rail,30/08/2016,109.5
7-Eleven Albion Park Rail,31/08/2016,105.7
7-Eleven Argenton,2/08/2016,0
7-Eleven Argenton,3/08/2016,107.9
7-Eleven Argenton,4/08/2016,107.9
7-Eleven Argenton,5/08/2016,107.9
7-Eleven Argenton,6/08/2016,107.9
7-Eleven Argenton,7/08/2016,107.9
7-Eleven Argenton,8/08/2016,107.9
7-Eleven Argenton,9/08/2016,107.5
7-Eleven Argenton,10/08/2016,105.9
7-Eleven Argenton,11/08/2016,105.9
7-Eleven Argenton,12/08/2016,105.9
7-Eleven Argenton,13/08/2016,105.9
7-Eleven Argenton,14/08/2016,105.9
7-Eleven Argenton,15/08/2016,105.9
7-Eleven Argenton,16/08/2016,105.9
7-Eleven Argenton,17/08/2016,105.9
7-Eleven Argenton,18/08/2016,105.9
7-Eleven Argenton,19/08/2016,105.9
7-Eleven Argenton,20/08/2016,105.9
7-Eleven Argenton,21/08/2016,105.9
7-Eleven Argenton,22/08/2016,105.9
7-Eleven Argenton,23/08/2016,105.9
7-Eleven Argenton,24/08/2016,105.9
7-Eleven Argenton,25/08/2016,101.9
7-Eleven Argenton,26/08/2016,101.9
7-Eleven Argenton,27/08/2016,101.9
7-Eleven Argenton,28/08/2016,101.9
7-Eleven Argenton,29/08/2016,101.9
7-Eleven Argenton,30/08/2016,101.9
7-Eleven Argenton,31/08/2016,101.9
7-Eleven Arncliffe,2/08/2016,104.9
7-Eleven Arncliffe,3/08/2016,104.9
7-Eleven Arncliffe,4/08/2016,101.9
7-Eleven Arncliffe,5/08/2016,100.9
7-Eleven Arncliffe,6/08/2016,100.9
7-Eleven Arncliffe,7/08/2016,99.9
7-Eleven Arncliffe,8/08/2016,99.9
7-Eleven Arncliffe,9/08/2016,99.9
7-Eleven Arncliffe,10/08/2016,97.9
7-Eleven Arncliffe,11/08/2016,97.9
7-Eleven Arncliffe,12/08/2016,96.9
7-Eleven Arncliffe,13/08/2016,96.9
7-Eleven Arncliffe,14/08/2016,96.9
7-Eleven Arncliffe,15/08/2016,96.9
7-Eleven Arncliffe,16/08/2016,96.4
7-Eleven Arncliffe,17/08/2016,96.4
7-Eleven Arncliffe,18/08/2016,127.4
7-Eleven Arncliffe,19/08/2016,127.4
7-Eleven Arncliffe,20/08/2016,127.4
7-Eleven Arncliffe,21/08/2016,125.9
7-Eleven Arncliffe,22/08/2016,125.9
7-Eleven Arncliffe,23/08/2016,124.9
7-Eleven Arncliffe,24/08/2016,121.9
7-Eleven Arncliffe,25/08/2016,121.9
7-Eleven Arncliffe,26/08/2016,118.9
7-Eleven Arncliffe,27/08/2016,118.9
7-Eleven Arncliffe,28/08/2016,115.9
7-Eleven Arncliffe,29/08/2016,112.9
7-Eleven Arncliffe,30/08/2016,112.5
7-Eleven Arncliffe,31/08/2016,107.7
7-Eleven Arndell Park,2/08/2016,0
7-Eleven Arndell Park,3/08/2016,102.4
7-Eleven Arndell Park,4/08/2016,102.4
7-Eleven Arndell Park,5/08/2016,102.4
7-Eleven Arndell Park,6/08/2016,102.4
7-Eleven Arndell Park,7/08/2016,102.4
7-Eleven Arndell Park,8/08/2016,102.4
7-Eleven Arndell Park,9/08/2016,102.4
7-Eleven Arndell Park,10/08/2016,99.9
7-Eleven Arndell Park,11/08/2016,99.1
7-Eleven Arndell Park,12/08/2016,97.9
7-Eleven Arndell Park,13/08/2016,97.9
7-Eleven Arndell Park,14/08/2016,97.9
7-Eleven Arndell Park,15/08/2016,97.9
7-Eleven Arndell Park,16/08/2016,96.4
7-Eleven Arndell Park,17/08/2016,96.4
7-Eleven Arndell Park,18/08/2016,96.4
7-Eleven Arndell Park,19/08/2016,127.4
7-Eleven Arndell Park,20/08/2016,127.4
7-Eleven Arndell Park,21/08/2016,127.4
7-Eleven Arndell Park,22/08/2016,125.9
7-Eleven Arndell Park,23/08/2016,125.9
7-Eleven Arndell Park,24/08/2016,121.4
7-Eleven Arndell Park,25/08/2016,117.9
7-Eleven Arndell Park,26/08/2016,114.9
7-Eleven Arndell Park,27/08/2016,112.9
7-Eleven Arndell Park,28/08/2016,112.9
7-Eleven Arndell Park,29/08/2016,110.9
7-Eleven Arndell Park,30/08/2016,107.9
7-Eleven Arndell Park,31/08/2016,103.9
7-Eleven Artarmon,2/08/2016,110.3
7-Eleven Artarmon,3/08/2016,110.3
7-Eleven Artarmon,4/08/2016,109.9
7-Eleven Artarmon,5/08/2016,106.9
7-Eleven Artarmon,6/08/2016,106.4
7-Eleven Artarmon,7/08/2016,104.9
7-Eleven Artarmon,8/08/2016,104.4
7-Eleven Artarmon,9/08/2016,101.9
7-Eleven Artarmon,10/08/2016,101.4
7-Eleven Artarmon,11/08/2016,101.4
7-Eleven Artarmon,12/08/2016,100.9
7-Eleven Artarmon,13/08/2016,98.9
7-Eleven Artarmon,14/08/2016,97.9
7-Eleven Artarmon,15/08/2016,97.9
7-Eleven Artarmon,16/08/2016,97.4
7-Eleven Artarmon,17/08/2016,97.4
7-Eleven Artarmon,18/08/2016,127.4
7-Eleven Artarmon,19/08/2016,127.4
7-Eleven Artarmon,20/08/2016,127.4
7-Eleven Artarmon,21/08/2016,125.9
7-Eleven Artarmon,22/08/2016,125.9
7-Eleven Artarmon,23/08/2016,125.9
7-Eleven Artarmon,24/08/2016,125.9
7-Eleven Artarmon,25/08/2016,124.4
7-Eleven Artarmon,26/08/2016,116.9
7-Eleven Artarmon,27/08/2016,116.4
7-Eleven Artarmon,28/08/2016,114.9
7-Eleven Artarmon,29/08/2016,114.4
7-Eleven Artarmon,30/08/2016,110.9
7-Eleven Artarmon,31/08/2016,110.9
7-Eleven Bankstown,2/08/2016,105.7
7-Eleven Bankstown,3/08/2016,101.9
7-Eleven Bankstown,4/08/2016,101.9
7-Eleven Bankstown,5/08/2016,101.4
7-Eleven Bankstown,6/08/2016,99.9
7-Eleven Bankstown,7/08/2016,99.9
7-Eleven Bankstown,8/08/2016,99.9
7-Eleven Bankstown,9/08/2016,98.9
7-Eleven Bankstown,10/08/2016,97.9
7-Eleven Bankstown,11/08/2016,96.9
7-Eleven Bankstown,12/08/2016,96.9
7-Eleven Bankstown,13/08/2016,96.9
7-Eleven Bankstown,14/08/2016,96.9
7-Eleven Bankstown,15/08/2016,96.9
7-Eleven Bankstown,16/08/2016,96.4
7-Eleven Bankstown,17/08/2016,96.4
7-Eleven Bankstown,18/08/2016,96.4
7-Eleven Bankstown,19/08/2016,125.9
7-Eleven Bankstown,20/08/2016,125.5
7-Eleven Bankstown,21/08/2016,125.5
7-Eleven Bankstown,22/08/2016,125.5
7-Eleven Bankstown,23/08/2016,124.9
7-Eleven Bankstown,24/08/2016,123.9
7-Eleven Bankstown,25/08/2016,121.9
7-Eleven Bankstown,26/08/2016,115.9
7-Eleven Bankstown,27/08/2016,114.9
7-Eleven Bankstown,28/08/2016,114.9
7-Eleven Bankstown,29/08/2016,113.9
7-Eleven Bankstown,30/08/2016,107.9
7-Eleven Bankstown,31/08/2016,106.9
7-Eleven Bathurst,2/08/2016,122.3
7-Eleven Bathurst,3/08/2016,122.3
7-Eleven Bathurst,4/08/2016,122.3
7-Eleven Bathurst,5/08/2016,121.9
7-Eleven Bathurst,6/08/2016,121.9
7-Eleven Bathurst,7/08/2016,121.7
7-Eleven Bathurst,8/08/2016,121.7
7-Eleven Bathurst,9/08/2016,121.7
7-Eleven Bathurst,10/08/2016,121.7
7-Eleven Bathurst,11/08/2016,121.7
7-Eleven Bathurst,12/08/2016,121.7
7-Eleven Bathurst,13/08/2016,121.7
7-Eleven Bathurst,14/08/2016,121.7
7-Eleven Bathurst,15/08/2016,121.7
7-Eleven Bathurst,16/08/2016,121.7
7-Eleven Bathurst,17/08/2016,111.9
7-Eleven Bathurst,18/08/2016,111.7
7-Eleven Bathurst,19/08/2016,111.7
7-Eleven Bathurst,20/08/2016,111.7
7-Eleven Bathurst,21/08/2016,111.7
7-Eleven Bathurst,22/08/2016,111.7
7-Eleven Bathurst,23/08/2016,111.7
7-Eleven Bathurst,24/08/2016,111.7
7-Eleven Bathurst,25/08/2016,111.7
7-Eleven Bathurst,26/08/2016,111.7
7-Eleven Bathurst,27/08/2016,111.7
7-Eleven Bathurst,28/08/2016,111.7
7-Eleven Bathurst,29/08/2016,111.7
7-Eleven Bathurst,30/08/2016,111.7
7-Eleven Bathurst,31/08/2016,111.7
7-Eleven Baulkham Hills,2/08/2016,0
7-Eleven Baulkham Hills,3/08/2016,0
7-Eleven Baulkham Hills,4/08/2016,103.9
7-Eleven Baulkham Hills,5/08/2016,103.9
7-Eleven Baulkham Hills,6/08/2016,103.9
7-Eleven Baulkham Hills,7/08/2016,103.9
7-Eleven Baulkham Hills,8/08/2016,101.9
7-Eleven Baulkham Hills,9/08/2016,99.9
7-Eleven Baulkham Hills,10/08/2016,99.9
7-Eleven Baulkham Hills,11/08/2016,99.9
7-Eleven Baulkham Hills,12/08/2016,99.9
7-Eleven Baulkham Hills,13/08/2016,99.9
7-Eleven Baulkham Hills,14/08/2016,99.7
7-Eleven Baulkham Hills,15/08/2016,99.7
7-Eleven Baulkham Hills,16/08/2016,99.7
7-Eleven Baulkham Hills,17/08/2016,99.5
7-Eleven Baulkham Hills,18/08/2016,99.5
7-Eleven Baulkham Hills,19/08/2016,127.5
7-Eleven Baulkham Hills,20/08/2016,127.5
7-Eleven Baulkham Hills,21/08/2016,125.9
7-Eleven Baulkham Hills,22/08/2016,125.9
7-Eleven Baulkham Hills,23/08/2016,123.9
7-Eleven Baulkham Hills,24/08/2016,123.9
7-Eleven Baulkham Hills,25/08/2016,121.9
7-Eleven Baulkham Hills,26/08/2016,116.9
7-Eleven Baulkham Hills,27/08/2016,116.9
7-Eleven Baulkham Hills,28/08/2016,116.9
7-Eleven Baulkham Hills,29/08/2016,115.9
7-Eleven Baulkham Hills,30/08/2016,109.9
7-Eleven Baulkham Hills,31/08/2016,109.9
7-Eleven Belmont North,2/08/2016,106.4
7-Eleven Belmont North,3/08/2016,106.4
7-Eleven Belmont North,4/08/2016,106.4
7-Eleven Belmont North,5/08/2016,106.4
7-Eleven Belmont North,6/08/2016,106.4
7-Eleven Belmont North,7/08/2016,106.4
7-Eleven Belmont North,8/08/2016,101.4
7-Eleven Belmont North,9/08/2016,101.4
7-Eleven Belmont North,10/08/2016,99.9
7-Eleven Belmont North,11/08/2016,99.9
7-Eleven Belmont North,12/08/2016,99.4
7-Eleven Belmont North,13/08/2016,99.4
7-Eleven Belmont North,14/08/2016,99.4
7-Eleven Belmont North,15/08/2016,99.4
7-Eleven Belmont North,16/08/2016,99.4
7-Eleven Belmont North,17/08/2016,98.9
7-Eleven Belmont North,18/08/2016,98.9
7-Eleven Belmont North,19/08/2016,98.9
7-Eleven Belmont North,20/08/2016,98.9
7-Eleven Belmont North,21/08/2016,98.9
7-Eleven Belmont North,22/08/2016,98.9
7-Eleven Belmont North,23/08/2016,98.9
7-Eleven Belmont North,24/08/2016,98.9
7-Eleven Belmont North,25/08/2016,98.9
7-Eleven Belmont North,26/08/2016,98.9
7-Eleven Belmont North,27/08/2016,98.9
7-Eleven Belmont North,28/08/2016,98.9
7-Eleven Belmont North,29/08/2016,98.9
7-Eleven Belmont North,30/08/2016,98.9
7-Eleven Belmont North,31/08/2016,98.9
7-Eleven Belmore,2/08/2016,0
7-Eleven Belmore,3/08/2016,104.9
7-Eleven Belmore,4/08/2016,101.9
7-Eleven Belmore,5/08/2016,99.9
7-Eleven Belmore,6/08/2016,99.9
7-Eleven Belmore,7/08/2016,99.9
7-Eleven Belmore,8/08/2016,99.9
7-Eleven Belmore,9/08/2016,98.9
7-Eleven Belmore,10/08/2016,97.9
7-Eleven Belmore,11/08/2016,97.9
7-Eleven Belmore,12/08/2016,97.9
7-Eleven Belmore,13/08/2016,97.9
7-Eleven Belmore,14/08/2016,97.9
7-Eleven Belmore,15/08/2016,97.9
7-Eleven Belmore,16/08/2016,96.4
7-Eleven Belmore,17/08/2016,96.4
7-Eleven Belmore,18/08/2016,96.4
7-Eleven Belmore,19/08/2016,125.9
7-Eleven Belmore,20/08/2016,125.5
7-Eleven Belmore,21/08/2016,125.5
7-Eleven Belmore,22/08/2016,125.5
7-Eleven Belmore,23/08/2016,123.3
7-Eleven Belmore,24/08/2016,121.8
7-Eleven Belmore,25/08/2016,119.9
7-Eleven Belmore,26/08/2016,114.9
7-Eleven Belmore,27/08/2016,114.9
7-Eleven Belmore,28/08/2016,114.9
7-Eleven Belmore,29/08/2016,113.9
7-Eleven Belmore,30/08/2016,111.4
7-Eleven Belmore,31/08/2016,107.9
7-Eleven Berkeley,2/08/2016,114.7
7-Eleven Berkeley,3/08/2016,114.7
7-Eleven Berkeley,4/08/2016,110.9
7-Eleven Berkeley,5/08/2016,110.9
7-Eleven Berkeley,6/08/2016,110.9
7-Eleven Berkeley,7/08/2016,110.9
7-Eleven Berkeley,8/08/2016,108.9
7-Eleven Berkeley,9/08/2016,108.9
7-Eleven Berkeley,10/08/2016,106.9
7-Eleven Berkeley,11/08/2016,106.9
7-Eleven Berkeley,12/08/2016,102.9
7-Eleven Berkeley,13/08/2016,102.9
7-Eleven Berkeley,14/08/2016,102.9
7-Eleven Berkeley,15/08/2016,101.9
7-Eleven Berkeley,16/08/2016,101.9
7-Eleven Berkeley,17/08/2016,101.9
7-Eleven Berkeley,18/08/2016,101.9
7-Eleven Berkeley,19/08/2016,127.4
7-Eleven Berkeley,20/08/2016,127.4
7-Eleven Berkeley,21/08/2016,127.4
7-Eleven Berkeley,22/08/2016,127.4
7-Eleven Berkeley,23/08/2016,127.4
7-Eleven Berkeley,24/08/2016,127.4
7-Eleven Berkeley,25/08/2016,127.4
7-Eleven Berkeley,26/08/2016,125.9
7-Eleven Berkeley,27/08/2016,125.9
7-Eleven Berkeley,28/08/2016,125.9
7-Eleven Berkeley,29/08/2016,121.9
7-Eleven Berkeley,30/08/2016,119.9
7-Eleven Berkeley,31/08/2016,117.9
7-Eleven Berowra,2/08/2016,119.9
7-Eleven Berowra,3/08/2016,119.9
7-Eleven Berowra,4/08/2016,112.9
7-Eleven Berowra,5/08/2016,112.7
7-Eleven Berowra,6/08/2016,111.9
7-Eleven Berowra,7/08/2016,111.9
7-Eleven Berowra,8/08/2016,109.9
7-Eleven Berowra,9/08/2016,106.9
