Site,1/03/2017,2/03/2017,3/03/2017,4/03/2017,5/03/2017,6/03/2017,7/03/2017,8/03/2017,9/03/2017,10/03/2017,11/03/2017,12/03/2017,13/03/2017,14/03/2017,15/03/2017,16/03/2017,17/03/2017,18/03/2017,19/03/2017,20/03/2017,21/03/2017,22/03/2017,23/03/2017,24/03/2017,25/03/2017,26/03/2017,27/03/2017,28/03/2017,29/03/2017,30/03/2017,31/03/2017,1/04/2017,2/04/2017,3/04/2017,4/04/2017,5/04/2017,6/04/2017,7/04/2017,8/04/2017,9/04/2017,10/04/2017,11/04/2017,12/04/2017,13/04/2017,14/04/2017,15/04/2017,16/04/2017,17/04/2017,18/04/2017,19/04/2017,20/04/2017,21/04/2017,22/04/2017,23/04/2017,24/04/2017,25/04/2017,26/04/2017,27/04/2017,28/04/2017,29/04/2017,30/04/2017,1/05/2017,2/05/2017,3/05/2017,4/05/2017,5/05/2017,6/05/2017,7/05/2017,8/05/2017,9/05/2017,10/05/2017,11/05/2017,12/05/2017,13/05/2017,14/05/2017,15/05/2017,16/05/2017,17/05/2017,18/05/2017,19/05/2017,20/05/2017,21/05/2017,22/05/2017,23/05/2017,24/05/2017,25/05/2017,26/05/2017,27/05/2017,28/05/2017,29/05/2017,30/05/2017,31/05/2017,1/06/2017,2/06/2017,3/06/2017,4/06/2017,5/06/2017,6/06/2017,7/06/2017,8/06/2017,9/06/2017,10/06/2017,11/06/2017,12/06/2017,13/06/2017,14/06/2017,15/06/2017,16/06/2017,17/06/2017,18/06/2017,19/06/2017,20/06/2017,21/06/2017,22/06/2017,23/06/2017,24/06/2017,25/06/2017,26/06/2017,27/06/2017,28/06/2017,29/06/2017,30/06/2017,1/07/2017,2/07/2017,3/07/2017,4/07/2017,5/07/2017,6/07/2017,7/07/2017,8/07/2017,9/07/2017,10/07/2017,11/07/2017,12/07/2017,13/07/2017,14/07/2017,15/07/2017,16/07/2017,17/07/2017,18/07/2017,19/07/2017,20/07/2017,21/07/2017,22/07/2017,23/07/2017,24/07/2017,25/07/2017,26/07/2017,27/07/2017,28/07/2017,29/07/2017,30/07/2017,31/07/2017,1/08/2017,2/08/2017,3/08/2017,4/08/2017,5/08/2017,6/08/2017,7/08/2017,8/08/2017,9/08/2017,10/08/2017,11/08/2017,12/08/2017,13/08/2017,14/08/2017,15/08/2017,16/08/2017,17/08/2017,18/08/2017,19/08/2017,20/08/2017,21/08/2017,22/08/2017,23/08/2017,24/08/2017,25/08/2017,26/08/2017,27/08/2017,28/08/2017,29/08/2017,30/08/2017,31/08/2017
7- Eleven Towradgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Express Carlton,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,122.9,122.9,122.9,118.9,118.9,118.9,117.9,117.9,117.9,117.9,117.9,117.9,115.9,114.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,126.9,122.9,122.9,120.9,120.9,120.9,118.9,117.9,117.9,116.9,116.9,116.9,116.9,116.9,116.9,122.9,122.9,123.9,123.9,123.9,123.9,123.9,123.9,121.9,121.9,121.9,117.9,115.9,115.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,121.9,121.9,121.9,121.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,116.9,116.9,116.9,115.9,115.9,114.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,109.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,117.9,117.9,117.9,115.9,115.9,115.9,113.9,113.9,112.9,111.9,111.9
7-Eleven Adamstown,139.5,139.5,129.9,127.9,127.9,127.9,127.9,127.9,127.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,124.9,121.9,121.9,121.9,116.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,139.9,115.9,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,113.4,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,135.9,135.9,135.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,133.9,129.9,129.9,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,120.4,117.7,117.7,117.7,117.7,117.7,117.7,117.7,116.7,116.7,116.7,116.7,115.7,115.4,114.9,114.9,113.7,110.7,110.4,109.7,109.7,109.5,109.5,109.5,109.5,109.5,108.7,108.7,107.5,107.5,107.5,107.5,107.5,107.5,107.5,106.9,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.4,131.9,131.9,106.5,106.5,106.5,106.5,105.9,105.9,105.9,105.9,105.9,105.9,105.5,105.5,105.5,105.5,105.5,105.5,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9
7-Eleven Albion Park Rail,140.3,140.3,135.7,131.7,131.7,131.7,131.7,129.9,125.9,123.3,123.3,123.3,123.3,121.4,121.4,118.9,115.9,115.9,114.9,114.9,114.9,113.8,113.8,113.8,113.8,113.8,113.8,112.7,111.6,111.6,110.3,110.3,110.3,110.3,109.2,109.2,109.2,109.2,109.2,139.9,139.9,135.2,131.4,129.8,128.6,128.6,128.6,128.6,128.6,128.6,125.2,125.2,125.2,125.2,122.5,122.5,120.3,120.3,118.2,118.2,118.2,118.2,118.2,117.1,117.1,115.8,115.8,139.9,139.9,139.4,139.4,137.9,136.9,129.4,129.4,129.4,125.2,121.9,121.4,121.4,118.6,118.6,118.6,116.2,116.2,114.1,114.1,114.1,114.1,114.1,114.1,114.1,141.9,141.9,141.9,141.9,141.9,137.2,133.7,133.7,129.8,128.8,128.8,128.8,128.8,124.6,124.6,124.1,124.1,124.1,124.1,120.4,120.4,120.4,118.9,118.4,118.4,117.9,117.9,116.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,131.4,131.4,131.4,131.4,131.4,131.4,126.2,126.2,126.2,126.2,124.9,116.2,116.2,110.8,108.7,108.7,108.7,108.7,108.7,107.6,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,134.9,134.9,134.9,129.4,129.4,129.4,129.4,129.4,129.4,129.4,128.4,128.4,128.4,122.4,122.4,122.4,122.4,121.4,121.4,121.4,121.4,110.4,110.4
7-Eleven Argenton,141.5,141.5,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,128.4,128.4,128.4,124.7,124.7,124.7,124.7,124.7,124.7,124.7,124.7,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,139.9,139.9,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,139.9,139.9,139.9,139.4,139.4,139.4,139.4,139.4,137.4,137.4,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,141.9,141.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.7,133.7,133.7,133.7,131.7,119.9,119.9,119.9,117.9,117.9,117.9,117.9,117.9,115.9,117.9,113.9,113.9,113.9,113.9,113.9,131.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,134.9,134.9,134.9,134.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,129.9
7-Eleven Arncliffe,131.9,131.9,126.9,126.9,126.9,126.9,124.9,121.9,120.9,117.9,117.9,116.9,116.9,116.9,116.9,116.9,116.9,113.9,112.9,112.9,112.9,112.9,112.9,111.9,111.5,109.9,109.9,109.9,109.9,109.9,109.9,108.9,108.9,108.9,108.9,108.9,108.9,107.7,139.9,139.4,138.9,137.9,136.9,134.9,134.9,131.9,131.9,129.9,129.9,129.9,129.9,126.9,126.9,126.9,126.9,122.9,119.9,118.9,115.9,114.7,114.7,114.7,113.9,113.9,113.9,112.9,111.9,139.9,139.9,139.4,139.4,137.9,133.9,131.9,129.9,125.9,121.9,119.9,116.9,112.9,112.9,112.9,112.9,112.9,112.9,111.9,111.7,111.7,111.7,111.7,111.7,110.7,141.9,141.9,141.4,141.4,139.9,135.9,135.9,131.9,130.9,129.9,129.9,129.9,129.9,129.9,125.9,123.9,119.9,117.9,117.9,113.9,111.9,110.9,108.5,107.7,107.7,107.7,106.5,105.9,104.5,103.9,103.9,103.9,103.9,103.9,103.9,103.9,131.9,130.9,130.9,130.9,130.9,129.9,129.9,129.9,127.9,125.9,123.9,121.9,120.9,119.4,119.4,117.9,114.9,114.9,114.9,110.5,106.9,106.7,106.7,105.9,105.9,105.9,105.9,105.9,105.9,134.9,134.9,134.9,134.9,134.9,134.4,134.4,130.4,127.9,127.9,126.4,124.9,124.9,124.9,120.9,119.9,117.4,114.9,112.7,112.7,111.9,111.9,111.7,109.9,109.9,109.9,108.9
7-Eleven Arndell Park,129.9,128.9,125.9,124.9,123.9,123.9,122.9,121.9,121.9,120.9,119.9,118.9,117.9,117.9,116.9,116.9,115.9,115.9,115.9,115.9,115.9,114.9,113.9,113.9,113.5,113.5,112.9,111.9,111.4,110.9,110.9,110.9,110.9,110.9,109.9,109.9,109.9,107.9,107.9,139.9,139.9,139.9,136.9,134.9,134.9,134.9,134.9,129.9,126.9,125.9,124.9,123.9,120.9,120.7,120.7,119.7,119.7,118.7,117.7,117.7,116.9,115.7,114.4,139.9,139.9,139.9,139.9,139.9,139.9,139.4,139.4,137.9,128.4,126.9,128.4,128.4,117.9,113.9,112.9,110.9,109.9,109.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,141.9,141.9,141.9,141.9,141.4,139.9,139.9,139.9,136.5,132.9,130.9,126.7,125.5,124.9,123.7,123.5,121.7,120.7,119.5,119.5,118.9,116.7,115.7,114.9,114.3,111.9,111.9,111.9,109.9,108.7,107.4,106.9,106.4,106.4,104.9,104.9,104.9,131.9,131.9,131.4,131.4,131.4,131.4,128.9,126.9,123.9,121.9,121.9,120.9,112.7,111.7,106.9,106.9,106.7,107,107.9,107.9,107.9,106.9,106.9,105.9,105.9,105.9,105.9,105.9,105.9,105.9,105.9,105.9,105.9,105.9,134.9,134.9,134.9,125.7,125.7,125.7,123.9,123.9,123.9,121.4,121.4,114.8,114.8,114.8,113.9,113.9,113.9,108.3,107.9,107.9,107.9,107.9,107.9
7-Eleven Artarmon,136.9,129.9,129.9,129.9,129.9,129.9,129.9,126.9,126.9,126.9,126.9,126.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,121.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,114.9,113.9,113.9,113.9,113.9,112.9,112.9,111.9,111.9,111.9,139.9,139.9,139.9,139.9,136.9,134.9,134.9,134.9,134.9,134.4,133.9,132.9,131.9,130.9,130.9,130.9,130.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,122.9,122.9,122.9,139.9,139.9,139.9,139.9,139.4,139.4,137.9,130.9,130.9,130.9,130.9,122.4,121.4,121.4,121.4,117.3,117.3,117.3,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,115.9,141.9,141.9,141.9,141.9,139.9,136.9,130.9,130.9,130.9,130.9,128.9,128.9,128.9,128.9,128.9,128.9,127.9,127.9,123.9,121.9,121.9,117.9,117.9,117.9,117.9,117.7,116.8,116.8,116.4,112.9,112.4,112.4,112.4,108.4,108.4,108.4,131.9,131.4,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,128.4,128.4,128.4,128.4,127.9,126.4,119.9,119.9,119.9,118.9,118.9,118.4,118.4,115.9,113.4,111.4,111.4,111.4,111.4,111.4,111.4,134.9,134.9,130.9,130.9,130.9,130.9,130.9,130.9,130.9,128.9,128.9,127.9,124.9,124.9,122.4,118.9,116.4,116.4,116.4,115.9,115.4,115.4,114.4
7-Eleven Bankstown,133.9,131.8,125.9,125.9,124.9,123.9,123.9,121.9,119.9,119.9,117.9,117.7,117.7,116.9,115.9,115.4,114.9,114.9,114.9,114.9,113.9,112.5,112.5,111.9,110.5,109.9,109.9,109.9,109.9,109.9,109.9,109.9,109.9,109.9,108.9,108.9,107.9,107.9,107.9,137.9,137.9,137.7,131.9,131.9,131.9,131.9,131.9,131.9,127.9,126.7,124.9,121.9,121.9,121.9,121.9,117.7,117.7,117.7,116.9,116.9,116.9,115.9,113.9,113.9,113.9,113.9,113.4,112.9,139.9,139.4,137.9,137.9,134.9,129.9,127.9,127.9,118.4,117.9,117.9,115.9,114.9,114.9,114.9,114.5,113.9,113.9,112.9,112.9,112.9,112.9,112.9,112.9,141.4,139.9,139.9,139.9,139.9,135.9,133.4,129.9,127.9,127.4,126.9,124.9,124.4,121.4,119.9,115.9,114.4,114.4,112.9,111.9,109.9,109.4,108.9,108.4,107.4,107.4,106.5,106.5,105.9,105.9,105.9,105.9,105.9,103.5,103.5,103.5,131.4,129.9,129.9,129.9,129.9,127.9,126.5,103.9,121.9,121.9,121.9,118.7,109.9,111.5,111.5,108.9,108.9,107.9,107.9,106.7,106.7,105.9,105.9,105.9,104.7,104.7,104.7,104.7,104.7,104.7,103.9,103.9,103.9,131.9,131.9,128.9,127.9,127.9,122.9,121.5,119.9,118.9,117.9,115.9,114.9,114.9,112.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,109.9,109.9
7-Eleven Bathurst,140.3,140.3,140.3,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,138.9,138.9,137.9,137.9,137.9,137.9,130.9,130.9,130.9,130.9,130.9,128.9,128.9,127.3,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,130.9,130.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9
