Site,1/09/2017,2/09/2017,3/09/2017,4/09/2017,5/09/2017,6/09/2017,7/09/2017,8/09/2017,9/09/2017,10/09/2017,11/09/2017,12/09/2017,13/09/2017,14/09/2017,15/09/2017,16/09/2017,17/09/2017,18/09/2017,19/09/2017,20/09/2017,21/09/2017,22/09/2017,23/09/2017,24/09/2017,25/09/2017,26/09/2017,27/09/2017,28/09/2017,29/09/2017,30/09/2017,1/10/2017,2/10/2017,3/10/2017,4/10/2017,5/10/2017,6/10/2017,7/10/2017,8/10/2017,9/10/2017,10/10/2017,11/10/2017,12/10/2017,13/10/2017,14/10/2017,15/10/2017,16/10/2017,17/10/2017,18/10/2017,19/10/2017,20/10/2017,21/10/2017,22/10/2017,23/10/2017,24/10/2017,25/10/2017,26/10/2017,27/10/2017,28/10/2017,29/10/2017,30/10/2017,31/10/2017,1/11/2017,2/11/2017,3/11/2017,4/11/2017,5/11/2017,6/11/2017,7/11/2017,8/11/2017,9/11/2017,10/11/2017,11/11/2017,12/11/2017,13/11/2017,14/11/2017,15/11/2017,16/11/2017,17/11/2017,18/11/2017,19/11/2017,20/11/2017,21/11/2017,22/11/2017,23/11/2017,24/11/2017,25/11/2017,26/11/2017,27/11/2017,28/11/2017,29/11/2017,30/11/2017,1/12/2017,2/12/2017,3/12/2017,4/12/2017,5/12/2017,6/12/2017,7/12/2017,8/12/2017,9/12/2017,10/12/2017,11/12/2017,12/12/2017,13/12/2017,14/12/2017,15/12/2017,16/12/2017,17/12/2017,18/12/2017,19/12/2017,20/12/2017,21/12/2017,22/12/2017,23/12/2017,24/12/2017,25/12/2017,26/12/2017,27/12/2017,28/12/2017,29/12/2017,30/12/2017,31/12/2017,1/01/2018,2/01/2018,3/01/2018,4/01/2018,5/01/2018,6/01/2018,7/01/2018,8/01/2018,9/01/2018,10/01/2018,11/01/2018,12/01/2018,13/01/2018,14/01/2018,15/01/2018,16/01/2018,17/01/2018,18/01/2018,19/01/2018,20/01/2018,21/01/2018,22/01/2018,23/01/2018,24/01/2018,25/01/2018,26/01/2018,27/01/2018,28/01/2018,29/01/2018,30/01/2018,31/01/2018,1/02/2018,2/02/2018,3/02/2018,4/02/2018,5/02/2018,6/02/2018,7/02/2018,8/02/2018,9/02/2018,10/02/2018,11/02/2018,12/02/2018,13/02/2018,14/02/2018,15/02/2018,16/02/2018,17/02/2018,18/02/2018,19/02/2018,20/02/2018,21/02/2018,22/02/2018,23/02/2018,24/02/2018,25/02/2018,26/02/2018,27/02/2018,28/02/2018
7- Eleven Towradgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.7,130.7
7 Express Carlton,111.9,111.9,111.9,112.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,122.9,122.9,122.9,122.9,118.9,118.9,118.9,118.9,116.9,116.9,115.9,115.9,115.9,115.9,115.9,115.9,117.9,117.9,117.9,117.9,129.9,129.9,129.9,129.9,129.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,117.9,117.9,117.9,115.9,115.9,115.9,115.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,123.9,125.9,132.9,132.9,132.9,135.9,135.9,135.9,133.9,133.9,133.9,133.9,133.9,133.9,132.9,132.9,130.9,126.9,126.9,126.9,126.9,126.9,124.9,124.9,122.9,122.9,122.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,131.9,131.9,131.9,129.9,129.9,129.9,127.9,127.9,127.9,125.9,124.9,124.9,124.9,124.9,124.9,129.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,132.9,133.9,132.9,132.9,130.9,130.9,130.9,129.9,129.9,129.9,126.9,126.9,126.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,128.9,128.9,142.9,142.9,140.9,140.9,140.9,140.9,137.9,137.9,132.9,132.9,132.9,132.9
7-Eleven Adamstown,131.9,123.9,122.9,122.9,122.9,122.9,121.9,121.9,119.9,119.9,119.9,119.9,119.9,119.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,144.9,144.9,144.9,144.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,149.9,149.9,149.9,149.9,149.9,149.9,141.9,137.9,137.9,137.9,137.9,137.9,137.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,135.9,135.9,135.9,135.9,135.9,135.9,135.9,135.9,133.9,133.9,149.9,148.9,148.9,148.9,148.9,148.9,148.9,148.9,148.9,148.9,147.9,147.9
7-Eleven Albion Park Rail,110.4,110.4,142.9,142.9,141.9,141.9,141.9,139.9,137.9,137.9,137.9,137.9,137.9,137.9,135.9,135.9,135.9,135.9,131.9,124.2,124.9,124.9,124.9,124.9,124.9,124.9,124.9,119.7,122.9,122.9,142.9,142.9,142.9,141.9,141.4,139.9,139.9,139.9,139.9,139.9,124.9,121.9,121.9,119.7,121.4,121.4,121.4,121.4,121.4,121.4,144.9,144.9,144.9,144.9,144.9,144.4,139.3,141.9,141.9,141.9,141.9,141.9,141.9,139.9,137.9,137.9,137.9,134.9,133.9,133.9,130.3,131.7,131.7,149.9,149.8,149.8,149.8,144.8,149.8,149.8,149.8,149.8,149.4,149.4,149.4,140.9,140.9,140.9,140.9,140.9,131.9,131.9,127.9,127.9,127.9,127.9,127.1,131.9,131.9,149.9,149.9,149.9,149.9,149.9,144.1,149.9,144.1,144.1,144.1,144.1,144.1,138.1,130.6,125.3,124.3,124.3,123.8,122.7,121.8,121.8,121.8,120.7,120.7,120.7,120.2,120.2,120.2,120.2,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,144.9,144.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,139.9,137.9,131.6,131.6,131.6,131.6,131.6,127.6,127.6,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,149.9,149.9,149.9,149.9,149.9,149.9,149.9,147.9,147.9,146.9,146.7,140.4,139.8
7-Eleven Argenton,129.9,123.9,123.9,123.9,123.9,123.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,141.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,141.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,141.7,141.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,137.9,149.9,149.9,149.9,148.7,148.7,148.7,148.7,148.7,148.7,148.7,146.7,146.7,146.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,149.9,149.9,149.9,145.7,145.7,145.7,145.7,145.7,145.7,145.7,145.7,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,149.9,149.9,149.9,149.9,149.9,147.9,144.9,144.9,144.9,144.9,141.9,141.9
7-Eleven Arncliffe,108.9,108.9,108.9,142.9,141.9,141.9,136.9,136.9,135.9,135.9,131.9,131.9,131.9,125.9,123.9,123.4,116.9,116.9,115.9,114.5,114.5,113.9,112.9,111.9,111.9,111.9,111.5,111.5,142.9,142.9,142.9,142.9,142.9,140.9,139.9,138.9,131.9,131.9,129.9,126.9,122.9,119.7,117.9,115.9,115.9,115.9,115.9,112.9,112.9,112.9,144.9,144.9,144.4,142.9,142.9,142.9,141.4,141.4,141.4,141.4,141.4,139.3,131.9,131.9,131.9,129.9,129.9,129.9,128.9,127.4,126.9,126.2,126.2,149.9,149.9,149.9,147.9,147.9,147.9,147.9,148.9,148.9,148.9,143.7,140.2,134.2,132.9,129.2,127.2,125.2,125.2,124.9,124.9,122.2,122.2,122.2,119.9,119.9,149.9,149.9,149.9,149.9,148.7,147.9,147.9,146.7,146.7,146.7,146.7,140.2,140.2,136.9,135.7,135.7,131.7,130.9,130.9,130.9,126.9,126.9,126.9,124.9,124.9,124.9,124.2,123.8,123.8,149.9,149.9,149.9,149.7,149.7,148.2,148.2,145.5,145.5,145.5,145.5,145.5,138.2,135.2,132.9,132.9,132.9,132.9,132.9,128.9,128.9,128.9,128.2,128.2,128.2,126.9,126.5,122.2,122.2,122.2,122.2,122.2,122.2,122.2,122.2,122.2,122.2,122.2,122.2,121.9,121.9,147.9,147.9,147.9,147.9,147.9,147.9,139.9,139.9,139.9,136.9,136.9,131.4,126.9
7-Eleven Arndell Park,107.9,107.9,107.9,107.9,141.9,141.9,140.9,134.9,131.9,129.9,127.9,125.9,122.9,120.9,118.9,117.9,117.9,117.9,116.9,116.9,115.9,113.7,113.5,113.5,113.5,113.5,112.9,112.9,142.9,142.9,142.9,142.9,142.9,142.9,132.9,131.9,131.9,131.9,131.9,128.9,125.9,123.9,123.9,121.9,121.9,120.9,117.9,117.9,117.9,116.9,144.9,144.9,144.9,140.7,139.9,139.9,138.9,137.9,137.9,137.9,137.9,137.9,133.9,133.9,130.9,130.9,130.9,129.9,126.9,122.9,121.9,149.9,149.9,149.9,149.9,149.9,149.9,147.9,147.9,147.9,147.9,147.9,147.9,143.9,142.9,141.9,141.9,141.9,141.9,134.9,130.5,130.5,130.5,130.5,130.5,125.9,122.9,121.9,121.9,149.9,149.9,149.9,149.9,144.9,144.9,143.9,143.9,143.9,143.9,143.9,142.9,137.9,134.9,130.9,129.9,127.9,126.9,126.9,124.9,124.9,122.9,120.9,120.9,120.9,120.9,118.9,118.9,149.9,149.9,149.9,149.9,149.9,149.9,146.9,146.9,146.9,146.9,141.9,139.9,135.9,132.9,128.9,125.9,123.9,122.9,120.9,119.9,118.9,118.9,118.9,118.9,118.9,121.9,121.9,121.9,120.9,120.9,118.9,120.7,118.9,118.9,118.9,118.9,118.9,118.9,118.9,149.9,149.9,149.9,147.9,147.9,147.9,147.9,147.9,145.9,145.9,144.4,141.9,141.9,138.9,132.9
7-Eleven Artarmon,113.9,113.9,142.9,142.9,139.9,139.9,139.9,139.9,139.4,138.4,138.4,133.4,133.4,131.9,127.9,125.4,124.9,123.4,123.4,123.4,118.9,118.4,117.9,117.9,116.4,116.4,116.4,116.4,116.4,142.9,142.9,138.9,138.9,138.9,138.9,137.9,137.4,137.4,135.9,132.4,130.9,129.9,129.9,125.9,125.9,125.9,125.9,123.9,144.9,144.9,144.9,144.9,144.9,144.4,141.4,139.9,139.9,139.9,139.9,139.9,139.9,139.9,134.9,134.9,130.9,130.9,130.9,128.9,127.9,126.9,126.9,149.9,149.9,149.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,145.9,145.9,145.9,143.9,143.9,143.9,143.9,143.9,140.3,140.3,135.9,133.9,131.9,130.9,129.9,129.9,149.9,149.9,149.9,147.9,147.9,147.9,147.9,147.9,144.9,144.9,144.9,144.9,141.9,141.9,141.9,141.9,141.9,137.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,133.9,132.9,149.9,149.9,149.9,149.9,149.9,148.9,147.9,144.9,144.9,144.9,144.9,144.9,144.9,135.9,135.9,135.9,135.9,135.9,135.9,134.9,134.9,134.9,134.9,134.9,134.9,130.9,130.9,130.9,130.9,130.9,130.9,128.9,128.9,128.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,147.9,147.9,147.9,144.9,144.9,144.9,144.9,144.9,139.9,139.9,139.9,138.9,138.9
7-Eleven Bankstown,108.9,108.9,108.9,108.9,139.9,137.9,137.5,135.9,133.9,133.9,131.9,128.9,125.9,123.9,123.9,119.9,117.9,115.9,115.9,114.9,113.9,113.9,111.9,111.9,111.9,111.9,110.9,110.9,110.9,110.5,140.9,140.9,138.9,138.9,137.9,135.9,131.9,129.7,120.9,120.9,118.9,118.9,117.9,116.9,114.9,113.9,113.9,113.9,113.9,113.5,141.9,141.9,139.9,139.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,126.9,126.9,122.9,121.9,120.9,119.9,119.9,119.5,119.5,119.5,149.9,147.7,147.7,144.9,141.9,141.9,141.9,141.9,141.9,137.9,134.9,130.9,130.9,130.9,128.9,126.9,124.9,123.9,123.9,123.9,123.9,121.5,121.5,119.9,119.9,119.9,149.9,149.9,149.9,147.7,146.9,146.7,141.7,141.7,134.9,132.9,132.9,130.9,130.9,128.9,126.9,124.9,122.9,121.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,118.9,149.9,147.9,145.7,145.7,141.9,138.9,137.9,131.9,131.9,131.9,129.9,128.9,127.9,126.9,125.9,125.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,149.9,149.9,147.9,147.9,147.9,147.9,147.9,139.9,135.9,134.7,132.5,131.7,127.9,125.7
7-Eleven Bathurst,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,125.9,127.9,131.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.4,127.4,127.4,127.4,127.4,127.4,127.4,127.4,127.4,127.4,127.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.1,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9
