Site,1/09/2018,2/09/2018,3/09/2018,4/09/2018,5/09/2018,6/09/2018,7/09/2018,8/09/2018,9/09/2018,10/09/2018,11/09/2018,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,17/09/2018,18/09/2018,19/09/2018,20/09/2018,21/09/2018,22/09/2018,23/09/2018,24/09/2018,25/09/2018,26/09/2018,27/09/2018,28/09/2018,29/09/2018,30/09/2018,1/10/2018,2/10/2018,3/10/2018,4/10/2018,5/10/2018,6/10/2018,7/10/2018,8/10/2018,9/10/2018,10/10/2018,11/10/2018,12/10/2018,13/10/2018,14/10/2018,15/10/2018,16/10/2018,17/10/2018,18/10/2018,19/10/2018,20/10/2018,21/10/2018,22/10/2018,23/10/2018,24/10/2018,25/10/2018,26/10/2018,27/10/2018,28/10/2018,29/10/2018,30/10/2018,31/10/2018,1/11/2018,2/11/2018,3/11/2018,4/11/2018,5/11/2018,6/11/2018,7/11/2018,8/11/2018,9/11/2018,10/11/2018,11/11/2018,12/11/2018,13/11/2018,14/11/2018,15/11/2018,16/11/2018,17/11/2018,18/11/2018,19/11/2018,20/11/2018,21/11/2018,22/11/2018,23/11/2018,24/11/2018,25/11/2018,26/11/2018,27/11/2018,28/11/2018,29/11/2018,30/11/2018,1/12/2018,2/12/2018,3/12/2018,4/12/2018,5/12/2018,6/12/2018,7/12/2018,8/12/2018,9/12/2018,10/12/2018,11/12/2018,12/12/2018,13/12/2018,14/12/2018,15/12/2018,16/12/2018,17/12/2018,18/12/2018,19/12/2018,20/12/2018,21/12/2018,22/12/2018,23/12/2018,24/12/2018,25/12/2018,26/12/2018,27/12/2018,28/12/2018,29/12/2018,30/12/2018,31/12/2018,1/01/2019,2/01/2019,3/01/2019,4/01/2019,5/01/2019,6/01/2019,7/01/2019,8/01/2019,9/01/2019,10/01/2019,11/01/2019,12/01/2019,13/01/2019,14/01/2019,15/01/2019,16/01/2019,17/01/2019,18/01/2019,19/01/2019,20/01/2019,21/01/2019,22/01/2019,23/01/2019,24/01/2019,25/01/2019,26/01/2019,27/01/2019,28/01/2019,29/01/2019,30/01/2019,31/01/2019
7- Eleven Towradgi,154.9,154.9,154.9,154.9,154.9,151.9,151.9,147.9,149.9,147.9,147.9,147.9,147.9,147.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,144.9,167.9,167.9,159.9,159.4,158.4,158.4,158.4,158.4,158.4,157.4,157.4,150.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,169.9,164.4,163.9,163.9,163.9,163.9,161.9,161.9,159.9,154.9,154.9,154.9,149.9,149.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,138.9,138.9,138.9,138.9,138.9,136.9,134.9,134.9,134.9,134.9,134.9,134.9,134.9,131.9,129.9,129.7,129.7,129.7,128.9,126.9,126.9,126.9,126.9,122.9,122.9,120.9,120.9,120.9,120.9,120.9,120.9,134.4,134.4,134.4,131.9,131.9,131.9,131.7,131.4,130.9,129.4,129.4,126.9,123.9,121.9,121.9,121.9,119.9,119.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,141.9,141.9,141.9,140.9,139.9
7 Express Carlton,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,149.9,147.9,147.9,147.9,147.9,147.9,147.9,146.9,146.9,144.9,144.9,144.9,144.9,149.9,149.9,149.9,149.9,149.9,149.9,151.9,151.9,151.9,151.9,151.9,150.9,150.9,150.9,150.9,149.9,145.9,143.9,139.9,139.9,138.9,138.9,135.9,135.9,134.9,132.9,134.9,133.9,130.9,128.9,127.9,127.9,127.9,126.9,123.9,123.9,123.9,123.9,121.9,121.9,122.9,122.9,120.9,119.9,119.9,119.9,118.9,118.9,118.9,117.9,117.9,117.9,127.9,122.9,122.9,132.9,127.9,127.9,127.9,127.9,125.9,125.9,125.9,123.9,122.9,122.9,120.9,118.9,117.9,116.9,115.9,115.9,115.9,114.9,113.9,113.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,114.9,114.9,114.9,114.9,116.9,119.9,122.9,123.9,123.9,125.9,125.9
7-Eleven Adamstown,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,159.9,157.9,155.9,155.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,147.9,147.9,163.9,160.9,159.9,156.9,156.9,156.9,156.9,156.9,156.9,156.9,156.9,149.9,149.9,149.9,149.9,147.9,147.9,145.9,145.9,145.9,145.9,145.9,138.9,138.9,138.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,137.9,128.7,128.7,128.7,128.7,128.7,125.7,125.7,125.7,124.9,123.9,123.9,123.9,123.9,123.9,123.9,123.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,117.9,141.9,139.9
7-Eleven Albion Park Rail,145.9,145.9,145.9,145.9,145.9,145.9,142.4,138.9,138.4,137.9,137.3,137.3,137.3,137.3,137.3,137.3,137.3,137.3,137.9,137.9,137.9,137.9,167.9,167.9,167.9,167.9,157.9,151.9,151.9,148.9,148.9,148.9,144.2,143.9,143.9,143.9,143.4,143.4,143.4,143.4,143.4,143.4,143.4,143.4,143.4,143.4,169.9,169.9,165.9,165.9,161.9,161.9,161.9,161.9,161.9,154.9,154.9,154.9,151.9,151.9,151.9,151.9,151.9,151.9,147.9,147.9,145.9,145.9,140.7,139.2,136.9,134.9,133.9,132.9,132.9,132.9,130.9,125.9,125.9,125.9,124.9,123.9,122.9,122.9,121.9,121.4,121.4,120.9,120.9,119.9,119.9,118.9,117.9,117.9,117.9,117.9,117.9,115.9,147.9,147.9,147.9,144.9,144.9,144.9,139.9,134.9,132.9,129.9,129.9,127.9,125.9,123.9,120.1,120.1,118.9,118.9,113.5,113.5,113.5,112.9,112.3,112.3,112.3,111.9,111.9,111.9,111.9,111.9,111.9,111.4,111.4,111.4,111.4,111.4,111.4,111.4,111.9,111.9,111.9,110.4,110.9,110.9,110.9,110.9,111.9,111.9,111.9,141.9,141.9,141.9,141.9,138.9,134.9
7-Eleven Argenton,152.9,152.9,152.9,152.9,152.9,152.9,152.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,159.9,159.9,159.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,157.9,155.9,155.9,155.9,162.9,160.9,160.9,160.9,160.9,160.9,160.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.1,158.1,158.1,158.1,158.1,158.1,157.9,157.9,157.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,152.9,149.9,149.9,149.9,149.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,151.9,151.9,151.9,141.9,141.9,141.9,141.9,141.9,141.9,141.9,140.9,140.9,140.9,137.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9
7-Eleven Arncliffe,157.9,157.9,156.9,156.9,156.9,153.9,151.9,149.9,149.9,149.9,149.9,148.9,147.9,147.9,144.9,144.9,144.9,144.9,167.9,146.9,167.9,167.9,167.9,167.9,167.4,167.4,163.9,159.9,159.9,154.9,152.9,151.7,148.5,147.9,147.9,147.9,147.9,147.9,147.9,147.9,145.9,143.5,143.5,143.5,143.5,169.9,169.9,168.9,167.9,163.9,163.9,163.9,161.9,161.9,159.9,159.9,155.9,153.9,151.9,151.9,149.9,147.7,146.9,143.9,139.9,139.9,139.9,136.9,133.9,133.9,132.9,131.9,131.9,131.9,128.9,127.9,126.9,125.9,125.4,125.4,122.9,122.9,121.9,121.9,120.4,120.4,120.4,120.4,119.9,119.9,118.9,118.9,118.5,118.5,118.5,118.5,151.4,151.4,149.9,149.9,149.9,149.9,139.9,137.9,134.9,131.9,129.9,126.9,125.9,125.9,123.9,123.9,119.9,118.9,118.9,115.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,109.9,109.9,109.9,109.9,109.9,109.9,108.9,108.9,108.9,108.9,110.9,110.9,110.9,110.9,111.9,141.9,141.9,141.9,141.9,141.4,138.9,138.9,135.9
7-Eleven Arndell Park,157.9,156.9,156.9,156.9,156.9,156.9,156.9,156.9,150.9,150.9,150.9,150.9,147.9,143.9,141.9,141.9,141.9,139.9,138.9,138.9,138.9,167.9,167.9,167.9,167.4,167.4,165.9,161.9,161.9,161.9,157.9,157.9,151.9,148.9,148.9,145.9,143.9,143.9,143.9,143.7,143.7,143.7,142.9,142.9,142.9,169.9,169.9,169.9,167.5,167.5,166.9,166.9,165.9,161.9,159.9,153.9,153.7,152.9,151.9,146.9,145.9,143.9,142.9,140.9,140.7,139.7,139.7,137.9,133.9,133.9,133.9,131.9,131.9,129.5,127.9,127.9,126.4,125.4,125.4,124.9,122.9,122.9,121.9,121.9,120.9,120.5,120.5,120.5,119.9,119.9,117.9,117.9,117.9,116.9,116.9,116.9,151.9,151.4,149.9,149.9,149.9,148.9,144.4,137.9,135.9,134.9,131.9,131.9,126.9,123.9,121.9,120.9,118.9,116.9,116.7,113.9,113.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,110.9,110.9,110.9,110.9,110.9,111.9,141.9,141.9,141.9,141.9,141.9,140.9,139.9,136.9
7-Eleven Artarmon,155.9,155.9,155.9,153.9,153.9,151.9,151.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,146.9,167.9,167.9,167.9,167.9,167.9,165.9,162.9,161.9,160.9,159.9,157.9,155.9,155.9,153.9,152.9,151.9,151.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,171.9,169.9,167.9,167.9,167.9,165.9,165.9,165.9,165.9,163.9,163.9,161.9,159.9,159.9,159.9,157.9,154.9,152.9,150.9,150.9,150.9,150.9,150.9,144.9,144.9,141.9,140.9,140.9,138.9,138.9,135.9,134.9,133.9,133.9,133.9,133.9,131.9,131.9,129.9,129.9,129.9,129.9,129.9,129.9,127.9,125.9,125.9,124.9,151.9,151.9,151.9,151.9,151.9,151.4,151.4,151.4,147.9,146.9,146.9,143.9,139.9,139.9,137.9,137.9,137.9,137.9,134.9,129.9,127.9,122.9,122.9,122.9,119.9,119.9,119.9,117.9,114.9,114.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,112.9,141.9,141.9,114.9,112.9,112.9,112.9,110.9,110.9,110.9,110.9,110.9,110.9,111.9,141.9,141.9,141.9,141.9,141.9,141.9,135.9,134.9
7-Eleven Bankstown,156.9,155.9,155.9,155.9,155.9,154.4,154.4,151.9,149.9,147.3,146.9,145.5,144.9,144.9,144.5,144.5,143.9,143.7,141.7,139.9,139.7,139.5,167.9,167.9,167.4,167.4,156.9,156.9,155.9,153.9,151.9,147.9,146.7,146.5,145.9,145.9,145.9,145.3,144.9,144.9,144.7,144.5,144.3,143.9,143.7,143.5,169.9,169.9,166.9,163.9,161.9,161.9,159.9,159.9,159.9,151.9,149.7,149.5,147.9,146.9,145.7,143.7,141.7,139.9,138.7,138.5,137.7,134.7,133.9,133.9,131.9,131.9,131.7,128.9,127.9,126.9,126.4,125.4,122.9,122.9,122.9,122.9,121.9,120.9,120.9,119.9,119.9,119.9,118.9,118.9,117.9,117.9,115.9,115.9,115.9,115.9,114.2,149.9,147.9,145.9,145.9,145.9,140.9,136.9,136.9,130.9,127.9,127.9,126.9,123.7,119.5,115.9,114.9,113.9,113.7,112.9,111.9,111.9,111.9,109.9,109.9,109.9,109.9,109.7,109.7,109.7,109.7,109.7,109.7,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,108.9,108.9,110.9,110.9,110.9,110.9,111.9,111.9,111.9,141.9,139.9,137.9,136.9,133.9,131.9
7-Eleven Bathurst,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,148.4,148.4,148.4,148.4,148.4,148.4,157.4,157.4,157.4,157.4,157.4,157.4,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,154.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,141.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,140.9,138.9,138.9,138.9,138.9,138.9,135.9,132.5,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,131.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.9,128.7,128.7
