timestep,price,restoration,tpg,holiday,competitorprice
2016-08-03 00:00:00,108.9,0,99.7,0,109.9
2016-08-04 00:00:00,105.9,0,99.2,0,106.9
2016-08-05 00:00:00,105.9,0,98.6,0,105.9
2016-08-06 00:00:00,105.9,0,98.6,0,105.9
2016-08-07 00:00:00,104.5,0,98.6,0,105.9
2016-08-08 00:00:00,104.5,0,98.3,0,104.5
2016-08-09 00:00:00,104.4,0,98.4,0,104.5
2016-08-10 00:00:00,104.4,0,98.7,0,104.5
2016-08-11 00:00:00,104.4,0,99,0,104.5
2016-08-12 00:00:00,101.9,0,99.5,0,104.5
2016-08-13 00:00:00,101.9,0,99.5,0,101.9
2016-08-14 00:00:00,101.9,0,99.5,0,101.9
2016-08-15 00:00:00,99.9,0,99.6,0,99.9
2016-08-16 00:00:00,99.9,0,99.7,0,99.9
2016-08-17 00:00:00,97.4,0,100.3,0,97.4
2016-08-18 00:00:00,96.4,0,101.5,0,95.9
2016-08-19 00:00:00,127.4,1,102,0,127.9
2016-08-20 00:00:00,127.4,1,102,0,127.4
2016-08-21 00:00:00,127.4,1,102,0,127.4
2016-08-22 00:00:00,126.9,0,103.2,0,127.4
2016-08-23 00:00:00,126.9,0,104.1,0,127.4
2016-08-24 00:00:00,126.9,0,105,0,126.9
2016-08-25 00:00:00,124.7,0,105.5,0,124.9
2016-08-26 00:00:00,121.7,0,105.9,0,122.9
2016-08-27 00:00:00,121.7,0,105.9,0,121.9
2016-08-28 00:00:00,120.7,0,105.9,0,121.9
2016-08-29 00:00:00,118.7,0,106.1,0,121.9
2016-08-30 00:00:00,117.7,0,106.2,0,121.9
2016-08-31 00:00:00,116.7,0,106.6,0,117.9
2016-09-01 00:00:00,116.7,0,107.1,0,117.9
2016-09-02 00:00:00,106.9,0,107.4,0,109.9
2016-09-03 00:00:00,106.3,0,107.4,0,106.9
2016-09-04 00:00:00,106.3,0,107.4,0,106.9
2016-09-05 00:00:00,105.9,0,107.4,0,105.9
2016-09-06 00:00:00,105.7,0,107.5,0,105.9
2016-09-07 00:00:00,104.9,0,107,0,105.9
2016-09-08 00:00:00,129.9,1,106.6,0,104.9
2016-09-09 00:00:00,129.9,1,105.9,0,129.9
2016-09-10 00:00:00,128.3,0,105.9,0,129.4
2016-09-11 00:00:00,128.3,0,105.9,0,129.4
2016-09-12 00:00:00,127.3,0,106,0,128.9
2016-09-13 00:00:00,127.3,0,106.3,0,128.9
2016-09-14 00:00:00,126.9,0,106.9,0,127.9
2016-09-15 00:00:00,119.9,0,107.6,0,122.9
2016-09-16 00:00:00,117.9,0,108.1,0,120.9
2016-09-17 00:00:00,117.3,0,108.1,0,118.4
2016-09-18 00:00:00,116.9,0,108.1,0,118.4
2016-09-19 00:00:00,115.3,0,108.2,0,115.9
2016-09-20 00:00:00,109.4,0,108.2,0,114.9
2016-09-21 00:00:00,109.3,0,107.7,0,109.9
2016-09-22 00:00:00,108.3,0,107.7,0,108.9
2016-09-23 00:00:00,107.7,0,107.4,0,131.9
2016-09-24 00:00:00,131.3,0,107.4,0,131.4
2016-09-25 00:00:00,131.3,0,107.4,0,131.4
2016-09-26 00:00:00,131.3,0,107.3,0,131.4
2016-09-27 00:00:00,131.3,0,107.2,0,131.4
2016-09-28 00:00:00,131.3,0,106.9,0,131.4
2016-09-29 00:00:00,131.3,0,106.8,0,125.9
2016-09-30 00:00:00,131.3,0,106.7,0,125.9
2016-10-01 00:00:00,124.7,0,106.7,0,125.9
2016-10-02 00:00:00,124.7,0,106.7,0,125.9
2016-10-03 00:00:00,121.4,0,106.8,1,123.9
2016-10-04 00:00:00,121.3,0,107,0,121.9
2016-10-05 00:00:00,114.3,0,107.3,0,114.3
2016-10-06 00:00:00,113.7,0,107.7,0,113.9
2016-10-07 00:00:00,109.5,0,108.3,0,109.7
2016-10-08 00:00:00,109.5,0,108.3,0,109.5
2016-10-09 00:00:00,109.5,0,108.3,0,109.5
2016-10-10 00:00:00,109.5,0,108.7,0,109.5
2016-10-11 00:00:00,108.9,0,109.2,0,108.9
2016-10-12 00:00:00,106.9,0,109.5,0,107.9
